Date	Restaurant	App	Item	Cuisine	Type
12 Mar. 2020	Church's Chicken		Other	American	Food
14 Mar. 2020	Sushi Mura		Sushi	Japanese	Food
15 Mar. 2020	BBT Cafe	Skip the Dishes	Other	Taiwanese	Food
20 Mar. 2020	Chatime		Boba	Taiwanese	Drink
22 Mar. 2020	Jinya Ramen		Ramen	Japanese	Food
25 Mar. 2020	Minerva's		Other	Italian	Food
27 Mar. 2020	Tin Tin Seafood Harbour		Other	Chinese	Food
29 Mar. 2020	Sushi Mura		Sushi	Japanese	Food
31 Mar. 2020	Hanok		Other	Korean	Food
3 Apr. 2020	Jenjudan		Bob	Taiwanese	Drink
4 Apr. 2020	McDonald's		Burgers	American	Food
6 Apr. 2020	Jinya Ramen		Ramen	Japanese	Food
7 Apr. 2020	Tin Tin Seafood Harbour		Other	Chinese	Food
9 Apr. 2020	Ramen Danbo	Uber Eats	Ramen	Japanese	Food
11 Apr. 2020	Chatime	Fantuan	Boba	Taiwanese	Drink
13 Apr. 2020	Ramen Danbo		Ramen	Japanese	Food
15 Apr. 2020	BBT Cafe	Skip the Dishes	Other	Taiwanese	Food
17 Apr. 2020	Chatime	Fantuan	Boba	Taiwanese	Drink
18 Apr. 2020	Ramen Danbo	Uber Eats	Ramen	Japanese	Food
21 Apr. 2020	Saku		Ramen	Japanese	Food
22 Apr. 2020	Church's Chicken		Other	American	Food
23 Apr. 2020	Chatime		Boba	Taiwanese	Drink
27 Apr. 2020	Tea 18		Boba	Taiwanese	Drink
27 Apr. 2020	Ramen Danbo		Ramen	Japanese	Food
30 Apr. 2020	Tea 18		Boba	Taiwanese	Drink
1 May 2020	Sushi Mura		Sushi	Japanese	Food
2 May 2020	Chun Yang Tea	Fantuan	Boba	Taiwanese	Drink
3 May 2020	McDonald's		Burgers	American	Food
6 May 2020	Saku		Other	Japanese	Food
9 May 2020	Jenjudan		Boba	Taiwanese	Drink
12 May 2020	BBT Cafe	Skip the Dishes	Other	Taiwanese	Food
15 May 2020	Ramen Danbo		Ramen	Japanese	Food
15 May 2020	Krispy Kreme		Other	American	Snack
16 May 2020	Chatime	Fantuan	Boba	Taiwanese	Drink
17 May 2020	Minerva's		Other	Italian	Food
19 May 2020	Tea 18		Boba	Taiwanese	Drink
22 May 2020	Saku		Other	Japanese	Food
27 May 2020	McDonald's		Burgers	American	Food
28 May 2020	Orange Corner		Other	Taiwanese	Food
28 May 2020	Sofra's Mediterranean Kitchen		Shawarma	Mediterranean	Food
29 May 2020	Jinya Ramen 		Ramen	Japanese	Food
30 May 2020	Chatime	Fantuan	Boba	Taiwanese	Drink
1 Jun. 2020	Ramen Danbo		Ramen	Japanese	Food
3 Jun. 2020	McDonald's		Burgers	American	Food
4 Jun. 2020	Sushi Mura		Sushi	Japanese	Food
